mesh1kmid,prefcode,citycode,year,month,dayflag,timezone,population
52354538,26,26101,2019,11,0,0,11494
52354538,26,26101,2019,11,0,1,8433
52354538,26,26101,2019,11,0,2,9586
52354538,26,26101,2019,11,1,0,12968
52354538,26,26101,2019,11,1,1,8445
52354538,26,26101,2019,11,1,2,10228
52354538,26,26101,2019,11,2,0,12477
52354538,26,26101,2019,11,2,1,8441
52354538,26,26101,2019,11,2,2,10014
52354548,26,26101,2019,11,0,0,10706
52354548,26,26101,2019,11,0,1,8547
52354548,26,26101,2019,11,0,2,8989
52354548,26,26101,2019,11,1,0,10044
52354548,26,26101,2019,11,1,1,8851
52354548,26,26101,2019,11,1,2,8971
52354548,26,26101,2019,11,2,0,10264
52354548,26,26101,2019,11,2,1,8750
52354548,26,26101,2019,11,2,2,8977
52354549,26,26101,2019,11,0,0,11173
52354549,26,26101,2019,11,0,1,13045
52354549,26,26101,2019,11,0,2,11919
52354549,26,26101,2019,11,1,0,10014
52354549,26,26101,2019,11,1,1,12593
52354549,26,26101,2019,11,1,2,11175
52354549,26,26101,2019,11,2,0,10400
52354549,26,26101,2019,11,2,1,12744
52354549,26,26101,2019,11,2,2,11423
52354557,26,26101,2019,11,0,0,1763
52354557,26,26101,2019,11,0,1,2134
52354557,26,26101,2019,11,0,2,1945
52354557,26,26101,2019,11,1,0,1331
52354557,26,26101,2019,11,1,1,2032
52354557,26,26101,2019,11,1,2,1701
52354557,26,26101,2019,11,2,0,1475
52354557,26,26101,2019,11,2,1,2066
52354557,26,26101,2019,11,2,2,1783
52354558,26,26101,2019,11,0,0,4628
52354558,26,26101,2019,11,0,1,4426
52354558,26,26101,2019,11,0,2,4181
52354558,26,26101,2019,11,1,0,7004
52354558,26,26101,2019,11,1,1,4540
52354558,26,26101,2019,11,1,2,5070
52354558,26,26101,2019,11,2,0,6212
52354558,26,26101,2019,11,2,1,4502
52354558,26,26101,2019,11,2,2,4774
52354559,26,26101,2019,11,0,0,11105
52354559,26,26101,2019,11,0,1,12571
52354559,26,26101,2019,11,0,2,11597
52354559,26,26101,2019,11,1,0,10916
52354559,26,26101,2019,11,1,1,12704
52354559,26,26101,2019,11,1,2,11447
52354559,26,26101,2019,11,2,0,10979
52354559,26,26101,2019,11,2,1,12660
52354559,26,26101,2019,11,2,2,11497
52354567,26,26101,2019,11,0,0,92
