service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
01001,1,1,1,1,1,0,0,20251202,20260331
02001,0,0,0,0,0,0,1,20251202,20260331
03001,0,0,0,0,0,1,0,20251202,20260331
01001_Gion,1,1,1,1,1,0,0,20251202,20260331
02001_Gion,0,0,0,0,0,0,1,20251202,20260331
03001_Gion,0,0,0,0,0,1,0,20251202,20260331
01002_ritsumei,1,1,1,1,1,0,0,20251202,20260331
01003_sandai,1,1,1,1,1,0,0,20251202,20260331
01004_butsudai,1,1,1,1,1,0,0,20251202,20260331
01005_meishin,1,1,1,1,1,0,0,20251202,20260331
