service_id,date,exception_type
WEK,20250721,2
HOL,20250721,1
WEK,20250811,2
HOL,20250811,1
WEK,20250813,2
HOL,20250813,1
WEK,20250814,2
HOL,20250814,1
WEK,20250815,2
HOL,20250815,1
WEK,20250915,2
HOL,20250915,1
WEK,20250923,2
HOL,20250923,1
WEK,20251013,2
HOL,20251013,1
WEK,20251103,2
HOL,20251103,1
WEK,20251124,2
HOL,20251124,1
WEK,20251230,2
HOL,20251230,1
WEK,20251231,2
HOL,20251231,1
WEK,20260101,2
HOL,20260101,1
WEK,20260102,2
HOL,20260102,1
WEK,20260112,2
HOL,20260112,1
WEK,20260211,2
HOL,20260211,1
WEK,20260223,2
HOL,20260223,1
WEK,20260320,2
HOL,20260320,1
