fare_id,route_id,origin_id,destination_id
F1,,0211,0212
F1,,0212,0211
F1,,0211,0213
F1,,0213,0211
F2,,0211,0214
F2,,0214,0211
F2,,0211,0215
F2,,0215,0211
F2,,0211,0216
F2,,0216,0211
F2,,0211,0217
F2,,0217,0211
F3,,0211,0218
F3,,0218,0211
F3,,0211,0219
F3,,0219,0211
F3,,0211,0220
F3,,0220,0211
F3,,0211,0221
F3,,0221,0211
F4,,0211,0222
F4,,0222,0211
F4,,0211,0223
F4,,0223,0211
F4,,0211,0224
F4,,0224,0211
F4,,0211,0225
F4,,0225,0211
F5,,0211,0123
F5,,0123,0211
F5,,0211,0124
F5,,0124,0211
F5,,0211,0125
F5,,0125,0211
F5,,0211,0126
F5,,0126,0211
F5,,0211,0127
F5,,0127,0211
F5,,0211,0128
F5,,0128,0211
F4,,0211,0129
F4,,0129,0211
F4,,0211,0130
F4,,0130,0211
F3,,0211,0131
F3,,0131,0211
F3,,0211,0132
F3,,0132,0211
F3,,0211,0133
F3,,0133,0211
F3,,0211,0134
F3,,0134,0211
F3,,0211,0135
F3,,0135,0211
F3,,0211,0136
F3,,0136,0211
F3,,0211,0137
F3,,0137,0211
F3,,0211,0138
F3,,0138,0211
F4,,0211,0139
F4,,0139,0211
F1,,0212,0213
F1,,0213,0212
F1,,0212,0214
F1,,0214,0212
F1,,0212,0215
F1,,0215,0212
F2,,0212,0216
F2,,0216,0212
F2,,0212,0217
F2,,0217,0212
F2,,0212,0218
F2,,0218,0212
F2,,0212,0219
F2,,0219,0212
F3,,0212,0220
F3,,0220,0212
F3,,0212,0221
F3,,0221,0212
F3,,0212,0222
F3,,0222,0212
F3,,0212,0223
F3,,0223,0212
F4,,0212,0224
F4,,0224,0212
F4,,0212,0225
F4,,0225,0212
F5,,0212,0123
F5,,0123,0212
F5,,0212,0124
F5,,0124,0212
F5,,0212,0125
F5,,0125,0212
F5,,0212,0126
F5,,0126,0212
F4,,0212,0127
F4,,0127,0212
F4,,0212,0128
F4,,0128,0212
F4,,0212,0129
F4,,0129,0212
F3,,0212,0130
F3,,0130,0212
F3,,0212,0131
F3,,0131,0212
F3,,0212,0132
F3,,0132,0212
F3,,0212,0133
F3,,0133,0212
F2,,0212,0134
F2,,0134,0212
F2,,0212,0135
F2,,0135,0212
F2,,0212,0136
F2,,0136,0212
F3,,0212,0137
F3,,0137,0212
F3,,0212,0138
F3,,0138,0212
F3,,0212,0139
F3,,0139,0212
F1,,0213,0214
F1,,0214,0213
F1,,0213,0215
F1,,0215,0213
F1,,0213,0216
F1,,0216,0213
F2,,0213,0217
F2,,0217,0213
F2,,0213,0218
F2,,0218,0213
F2,,0213,0219
F2,,0219,0213
F2,,0213,0220
F2,,0220,0213
F3,,0213,0221
F3,,0221,0213
F3,,0213,0222
F3,,0222,0213
F3,,0213,0223
F3,,0223,0213
F3,,0213,0224
F3,,0224,0213
F4,,0213,0225
F4,,0225,0213
F5,,0213,0123
F5,,0123,0213
F5,,0213,0124
F5,,0124,0213
F5,,0213,0125
F5,,0125,0213
F4,,0213,0126
F4,,0126,0213
F4,,0213,0127
F4,,0127,0213
F4,,0213,0128
F4,,0128,0213
F4,,0213,0129
F4,,0129,0213
F3,,0213,0130
F3,,0130,0213
F3,,0213,0131
F3,,0131,0213
F2,,0213,0132
F2,,0132,0213
F2,,0213,0133
F2,,0133,0213
F2,,0213,0134
F2,,0134,0213
F2,,0213,0135
F2,,0135,0213
F2,,0213,0136
F2,,0136,0213
F2,,0213,0137
F2,,0137,0213
F3,,0213,0138
F3,,0138,0213
F3,,0213,0139
F3,,0139,0213
F1,,0214,0215
F1,,0215,0214
F1,,0214,0216
F1,,0216,0214
F2,,0214,0217
F2,,0217,0214
F2,,0214,0218
F2,,0218,0214
F2,,0214,0219
F2,,0219,0214
F2,,0214,0220
F2,,0220,0214
F2,,0214,0221
F2,,0221,0214
F3,,0214,0222
F3,,0222,0214
F3,,0214,0223
F3,,0223,0214
F3,,0214,0224
F3,,0224,0214
F3,,0214,0225
F3,,0225,0214
F5,,0214,0123
F5,,0123,0214
F5,,0214,0124
F5,,0124,0214
F4,,0214,0125
F4,,0125,0214
F4,,0214,0126
F4,,0126,0214
F4,,0214,0127
F4,,0127,0214
F4,,0214,0128
F4,,0128,0214
F3,,0214,0129
F3,,0129,0214
F3,,0214,0130
F3,,0130,0214
F2,,0214,0131
F2,,0131,0214
F2,,0214,0132
F2,,0132,0214
F2,,0214,0133
F2,,0133,0214
F2,,0214,0134
F2,,0134,0214
F2,,0214,0135
F2,,0135,0214
F2,,0214,0136
F2,,0136,0214
F2,,0214,0137
F2,,0137,0214
F2,,0214,0138
F2,,0138,0214
F3,,0214,0139
F3,,0139,0214
F1,,0215,0216
F1,,0216,0215
F1,,0215,0217
F1,,0217,0215
F1,,0215,0218
F1,,0218,0215
F2,,0215,0219
F2,,0219,0215
F2,,0215,0220
F2,,0220,0215
F2,,0215,0221
F2,,0221,0215
F2,,0215,0222
F2,,0222,0215
F3,,0215,0223
F3,,0223,0215
F3,,0215,0224
F3,,0224,0215
F3,,0215,0225
F3,,0225,0215
F5,,0215,0123
F5,,0123,0215
F5,,0215,0124
F5,,0124,0215
F4,,0215,0125
F4,,0125,0215
F4,,0215,0126
F4,,0126,0215
F4,,0215,0127
F4,,0127,0215
F3,,0215,0128
F3,,0128,0215
F3,,0215,0129
F3,,0129,0215
F3,,0215,0130
F3,,0130,0215
F2,,0215,0131
F2,,0131,0215
F2,,0215,0132
F2,,0132,0215
F2,,0215,0133
F2,,0133,0215
F2,,0215,0134
F2,,0134,0215
F1,,0215,0135
F1,,0135,0215
F2,,0215,0136
F2,,0136,0215
F2,,0215,0137
F2,,0137,0215
F2,,0215,0138
F2,,0138,0215
F2,,0215,0139
F2,,0139,0215
F1,,0216,0217
F1,,0217,0216
F1,,0216,0218
F1,,0218,0216
F2,,0216,0219
F2,,0219,0216
F2,,0216,0220
F2,,0220,0216
F2,,0216,0221
F2,,0221,0216
F2,,0216,0222
F2,,0222,0216
F2,,0216,0223
F2,,0223,0216
F3,,0216,0224
F3,,0224,0216
F3,,0216,0225
F3,,0225,0216
F5,,0216,0123
F5,,0123,0216
F4,,0216,0124
F4,,0124,0216
F4,,0216,0125
F4,,0125,0216
F4,,0216,0126
F4,,0126,0216
F3,,0216,0127
F3,,0127,0216
F3,,0216,0128
F3,,0128,0216
F3,,0216,0129
F3,,0129,0216
F2,,0216,0130
F2,,0130,0216
F2,,0216,0131
F2,,0131,0216
F2,,0216,0132
F2,,0132,0216
F2,,0216,0133
F2,,0133,0216
F2,,0216,0134
F2,,0134,0216
F1,,0216,0135
F1,,0135,0216
F1,,0216,0136
F1,,0136,0216
F2,,0216,0137
F2,,0137,0216
F2,,0216,0138
F2,,0138,0216
F2,,0216,0139
F2,,0139,0216
F1,,0217,0218
F1,,0218,0217
F1,,0217,0219
F1,,0219,0217
