table_name,field_name,language,translation,record_id,record_sub_id,field_value
agency,agency_name,ja,京都市交通局,2000020261009,,
agency,agency_name,ja-Hrkt,きょうとしこうつうきょく,2000020261009,,
agency,agency_name,ja-Latn,"Kyoto Shi Kotsu Kyoku",2000020261009,,
agency,agency_name,en,"Kyoto Municipal Transportation Bureau",2000020261009,,
agency,agency_name,zh-Hans,京都市交通局,2000020261009,,
agency,agency_name,zh-Hant,京都市交通局,2000020261009,,
agency,agency_name,ko,교토시교통국,2000020261009,,
stops,stop_name,ja,国際会館,0211,,
stops,stop_name,ja-Hrkt,こくさいかいかん,0211,,
stops,stop_name,ja-Latn,Kokusaikaikan,0211,,
stops,stop_name,en,"Kokusaikaikan(Kyoto International Conference Center)",0211,,
stops,stop_name,zh-Hans,国际会馆（国立京都国际会馆）,0211,,
stops,stop_name,zh-Hant,國際會館（國立京都國際會館）,0211,,
stops,stop_name,ko,"고쿠사이카이칸（교토 국제 컨퍼런스 센터）",0211,,
stops,stop_name,ja,松ヶ崎,0212,,
stops,stop_name,ja-Hrkt,まつがさき,0212,,
stops,stop_name,ja-Latn,Matsugasaki,0212,,
stops,stop_name,en,Matsugasaki,0212,,
stops,stop_name,zh-Hans,松崎,0212,,
stops,stop_name,zh-Hant,松崎,0212,,
stops,stop_name,ko,마쓰가사키,0212,,
stops,stop_name,ja,北山,0213,,
stops,stop_name,ja-Hrkt,きたやま,0213,,
stops,stop_name,ja-Latn,Kitayama,0213,,
stops,stop_name,en,Kitayama,0213,,
stops,stop_name,zh-Hans,北山,0213,,
stops,stop_name,zh-Hant,北山,0213,,
stops,stop_name,ko,기타야마,0213,,
stops,stop_name,ja,北大路,0214,,
stops,stop_name,ja-Hrkt,きたおおじ,0214,,
stops,stop_name,ja-Latn,Kitaoji,0214,,
stops,stop_name,en,Kitaoji,0214,,
stops,stop_name,zh-Hans,北大路,0214,,
stops,stop_name,zh-Hant,北大路,0214,,
stops,stop_name,ko,기타오지,0214,,
stops,stop_name,ja,鞍馬口,0215,,
stops,stop_name,ja-Hrkt,くらまぐち,0215,,
stops,stop_name,ja-Latn,Kuramaguchi,0215,,
stops,stop_name,en,Kuramaguchi,0215,,
stops,stop_name,zh-Hans,鞍马口,0215,,
stops,stop_name,zh-Hant,鞍馬口,0215,,
stops,stop_name,ko,구라마구치,0215,,
stops,stop_name,ja,今出川,0216,,
stops,stop_name,ja-Hrkt,いまでがわ,0216,,
stops,stop_name,ja-Latn,Imadegawa,0216,,
stops,stop_name,en,Imadegawa,0216,,
stops,stop_name,zh-Hans,今出川,0216,,
stops,stop_name,zh-Hant,今出川,0216,,
stops,stop_name,ko,이마데가와,0216,,
stops,stop_name,ja,丸太町,0217,,
stops,stop_name,ja-Hrkt,まるたまち,0217,,
stops,stop_name,ja-Latn,Marutamachi,0217,,
stops,stop_name,en,Marutamachi,0217,,
stops,stop_name,zh-Hans,丸太町,0217,,
stops,stop_name,zh-Hant,丸太町,0217,,
stops,stop_name,ko,마루타마치,0217,,
stops,stop_name,ja,烏丸御池,0218,,
stops,stop_name,ja-Hrkt,からすまおいけ,0218,,
stops,stop_name,ja-Latn,"Karasuma Oike",0218,,
stops,stop_name,en,"Karasuma Oike",0218,,
stops,stop_name,zh-Hans,乌丸御池,0218,,
stops,stop_name,zh-Hant,烏丸御池,0218,,
stops,stop_name,ko,가라스마오이케,0218,,
stops,stop_name,ja,四条,0219,,
stops,stop_name,ja-Hrkt,しじょう,0219,,
stops,stop_name,ja-Latn,Shijo,0219,,
stops,stop_name,en,Shijo,0219,,
stops,stop_name,zh-Hans,四条,0219,,
stops,stop_name,zh-Hant,四条,0219,,
stops,stop_name,ko,시조,0219,,
stops,stop_name,ja,五条,0220,,
stops,stop_name,ja-Hrkt,ごじょう,0220,,
stops,stop_name,ja-Latn,Gojo,0220,,
stops,stop_name,en,Gojo,0220,,
stops,stop_name,zh-Hans,五条,0220,,
stops,stop_name,zh-Hant,五条,0220,,
stops,stop_name,ko,고조,0220,,
stops,stop_name,ja,京都,0221,,
stops,stop_name,ja-Hrkt,きょうと,0221,,
stops,stop_name,ja-Latn,Kyoto,0221,,
stops,stop_name,en,Kyoto,0221,,
stops,stop_name,zh-Hans,京都,0221,,
stops,stop_name,zh-Hant,京都,0221,,
stops,stop_name,ko,교토,0221,,
stops,stop_name,ja,九条,0222,,
stops,stop_name,ja-Hrkt,くじょう,0222,,
stops,stop_name,ja-Latn,Kujo,0222,,
stops,stop_name,en,Kujo,0222,,
stops,stop_name,zh-Hans,九条,0222,,
stops,stop_name,zh-Hant,九条,0222,,
stops,stop_name,ko,구조,0222,,
stops,stop_name,ja,十条,0223,,
stops,stop_name,ja-Hrkt,じゅうじょう,0223,,
